Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
76;NH24;1228;60.7;B6D2F1;CD;F;518;3;12845;1570;1708;9905;48410;29863;21227;11785;10991;4974;12404;8447;18424;60041;16011;28502;15172;12763;1249;84296;40914;13916;28493;5307;160357;296247;6837;22799;5666;11193;27537;8006;81921;5337;102835;136978;5756;9080;8388;9049;437572;26869;14202;5076;71472;243345;3838;1195961;1429;2660;3162;10465;31224;1224;194421;13662;5174;56381;24950;40078;2000;2126;10468;4164;21414;2699;758245;205746;67268;160427;43241;8995;14435;2751;13835;6347;9455;195390;13086;12454;9139;1590;4467;241384;3044;16455;3116;5516;17857;9640;17459;83589;7787;1284;9786;2670;18100;3587;6496;1834;6019;136282;3493;14316;38006;1584;14645;162299;29457;12761;450744;65329;7886;2631;29115;5012;14670;12826;6735;102670;5940;8411;12290;38269;6176;20260;7805;5077;2361;5848;145961;2689;9726;2158;457827;85741;38374;8684;59864;3304;13613;10939;1798;1848;5029;41627;40966;11996;22773;40402;12672;3069;3420;2116;86013;15139;3202;327344;4344;7954;7113;2692;2746;27220;347951;873;1825;15617;30024;6055;11388;2026;11196;11008;13184;11826;4934;19119;5067;23568;39745;2862;213141;1632;17168;6523;6308;1330;1330;108148;10632;28111;15675;12534;40214;5908;2960;53829;6904;23718;5676;2111;28539;12927;6958;2435;7241;2695;2440;22858;11221;2657;8692;241187;2948;11062;181616;19357;8255;10973;5255;5227;6686;7273;3264;2884181;23626;4064;308899;12515;1369;3697;27652;26256;62479;37305;1152;132170;1103430;20357;2084362;43701;5536;8020;19793;3621;160679;6829;151698;15401;3761;27607;11252;1130;6318;19469;589;2486;1015;4797;67653;6843;12562;7735;2900;10532;2806;5015;96867;509;16349;3681;3433;2376;6335;1743;9877;6441;990;5870;8773;2830;8984;14955;16520;1131;45171;10494;2091;4673;4315;3326;1900;2772;2683;4188;7689;41308;4350;13620;3325;17906;2004;3637;1811;2856;3035;4163;3977;1119;9160346;4639;1477;5849;7961;7377;2186;1181;699;48066;4016;804;5421;3395;879;1204;5094;1746;4967;2203;2506;2640;1655;38492;3805;1610;1079;1059;1811;16589;23721;92985;26940;5147;68971;105820;6314;7019;3249;36772;7672;3157;3438;1610;15456;21322;5688;3848;16365;16365;2901;2704;5704;2035;4990;3488
77;NH24;1142;130;DBA/2J;HF;F;367;2;1323;1119;2098;7617;93410;40395;29721;9981;17945;2942;21868;14118;27188;97187;7313;23557;14475;4245;2056;86723;155708;8843;11518;5255;139772;638155;7787;34479;5046;11019;35566;8323;58752;5068;175323;436195;3936;4491;13714;10026;414285;36578;22136;4777;144050;718496;3681;334123;501;2192;2146;10959;72297;791;158490;6593;5199;59495;9922;10786;1159;2079;12780;1905;119169;6397;1432298;311990;57723;420121;59829;13576;17646;2885;21013;4687;6556;340674;18627;8999;12687;2143;5258;443168;6955;8519;1926;4665;21509;9028;11299;15847;6916;883;6886;2277;8043;3554;5430;1758;6071;142763;4003;10884;17567;2673;10186;184716;22831;10490;220395;43122;12333;3541;13380;8944;10632;10266;8253;17230;1882;7097;16719;12755;10406;15251;6618;11495;1380;9267;2108657;6611;5818;3099;505155;145254;35925;4896;96681;1824;7200;5129;1648;3080;8487;85942;35638;17793;7963;83846;22696;4392;3255;943;174635;11865;2657;541944;3288;5917;9819;2232;1647;21678;109349;1154;1282;6947;18816;6540;12861;2657;13921;5320;7304;9258;21884;26867;4449;8922;19633;2910;1076513;1246;9987;5337;3829;2737;911;165481;15028;15321;44108;14271;47531;13210;4522;60639;14279;12744;6231;1336;67707;6462;8666;2543;13018;4258;3026;23079;8786;5866;7071;125757;3694;8902;366967;7632;5152;6289;4279;3549;4324;10294;3373;2738722;39607;2326;282888;14041;2687;3307;10875;389619;43699;30544;1423;279833;4050684;8960;1570472;93593;4057;5856;56356;3462;395978;8518;131403;40497;11363;22942;10670;666;8616;79297;399;1526;802;4404;191199;5353;37055;34582;3451;7353;2040;3430;33785;472;7338;8275;3089;2105;5546;4969;10389;5868;1215;26846;18489;2526;7042;13414;29062;1045;117314;10064;1414;16197;2562;3425;13871;4737;3339;4984;6127;29701;3918;8683;2522;11083;2804;2445;1573;2804;3110;3201;2966;1345;23357830;7633;855;13445;7476;6824;1569;801;1159;184144;3199;937;9113;15366;1012;1355;2820;1679;7994;2982;2078;2415;2405;7722;6965;1905;1736;1418;1509;27884;40521;145773;54231;13317;238840;260131;11882;13058;6479;33172;13421;2690;3354;2570;23679;25151;8963;3194;19416;19416;2970;2575;5323;3366;4776;2906
78;NH24;1142;130;DBA/2J;HF;F;367;2;1216;1268;1487;8440;94546;40365;33447;9246;18744;3483;21369;14671;28338;100156;8003;27887;14888;4486;2152;92344;158342;9936;13062;5606;145072;617240;7549;36777;6111;12811;37685;8731;56177;5641;181090;441414;4273;4612;15458;10366;424708;36697;20992;5295;141091;713437;4003;356705;283;2036;2496;12387;73931;778;154979;7721;5254;61452;10258;9978;1026;2060;12254;1902;118994;6124;1456150;325883;56976;423622;58530;15025;17433;3189;21590;5378;6927;352424;19544;7669;12433;1900;5428;449356;7107;9341;1967;4625;25127;9043;11113;16205;8110;585;7542;3111;7977;3892;5016;2153;5340;149233;4168;10707;17121;2546;11125;192822;20738;11236;216204;45276;11979;3685;15463;8253;11429;10328;8446;16942;2280;7523;15588;12929;10185;16251;7272;12775;1627;9980;2128664;7534;5056;2700;512188;146370;38497;4529;96454;2179;7431;5162;1916;3406;9410;84270;39714;19787;7608;84288;22789;5222;4239;1394;174622;12111;2965;535160;3326;5668;10123;2454;1297;22174;115996;1291;1467;6950;18730;6744;10787;2430;15096;6331;8312;9243;22628;27665;4754;9654;25080;2703;1085515;1490;9493;5290;3561;2561;782;162595;15058;17572;43510;14893;49434;12827;5251;65462;14103;14175;6179;1689;69658;6471;8514;2367;12914;4560;3314;21391;9375;5195;6736;167391;2686;8930;382313;8236;6193;5487;4017;4110;6675;11901;3759;2534018;42672;2172;285140;15178;3359;3481;11032;401546;47541;30983;1484;290803;4121036;9597;1516341;88459;5121;6272;56821;3346;395402;8699;131159;40511;10316;24100;11644;1081;8708;75768;489;1496;807;4285;192757;5870;39157;35803;4289;8228;2265;3527;37171;413;7781;8665;2972;2231;5176;4403;10046;5787;1225;25954;18856;2938;8407;14550;32150;1298;122189;10672;1362;17076;3460;3537;13394;4988;3367;4761;5566;30529;4256;9158;2557;11861;2647;2013;1907;2789;3237;3423;2471;1529;23575686;7921;931;13263;7411;6532;2027;738;930;185062;3298;966;8367;16547;805;1266;2346;1687;7732;2918;2259;2381;2625;7632;6783;1780;1705;1284;1651;28424;41926;146926;54922;13830;228945;261218;13069;13554;6699;33351;13023;2864;3597;2051;22399;25001;7884;2796;19571;19571;3135;2731;5137;3330;5214;3166
79;NH24;1474;107.5;BXD39;HF;F;597;3;1749;1588;1821;10814;63319;31304;17268;9142;12124;1358;14126;10402;12992;60751;3799;28224;16919;2231;1337;99307;84725;8581;9934;4468;191421;300308;5714;33189;6097;12061;59352;8154;100667;5582;109283;180772;3793;6266;7672;4515;570889;26739;23692;4521;44644;115654;3135;829578;904;2036;1695;9308;31826;708;198938;4451;5577;60585;5381;11677;1565;1190;14529;1385;9383;2203;821884;236961;66521;210641;21293;11024;19714;7582;15204;4158;7467;561355;28960;2525;10615;1251;12473;304751;4789;4092;2866;4598;18991;4174;8983;29674;9889;803;7036;2409;6068;6107;3996;1523;6019;114891;3223;13133;15846;1278;9687;196162;37944;6788;244998;31987;4670;1401;174947;5467;4733;8983;13034;19986;1898;12053;13203;3953;6399;13740;9173;13148;1396;5202;3029026;6614;4271;1896;447913;122569;52910;2500;60885;1505;5152;6283;1239;1771;18546;30702;32828;24883;13146;41935;14598;4097;6372;1241;49369;5380;2370;334802;2448;3108;6294;1530;1811;6564;137994;1086;1397;4023;10255;7765;13191;1210;3067;2432;6542;4515;25516;10432;3931;5581;20936;2495;179142;2006;6058;3508;20675;1970;777;73642;13632;5590;17239;12406;34337;6604;4398;36096;5558;5394;9663;1589;55046;3730;6083;1901;5514;1494;1526;27707;6380;2637;4483;155502;1569;9346;189120;5599;2309;9303;1631;3743;5481;6210;3021;2277839;14697;2132;93080;8986;3523;3070;17258;43022;19066;12379;656;167264;2166081;3992;1794310;24568;3558;5484;13855;2605;754552;2636;2737054;41296;5622;25442;10753;1178;5048;14680;618;1599;636;3653;371833;2677;71464;55754;2442;8665;1481;1752;1845282;1189;81914;3521;1555;1110;1886;8617;11437;2531;1096;7786;6981;2692;4189;5306;17358;1423;63179;5035;885;4972;2885;2898;2234;1537;1618;1209;2341;25683;3458;2328;2826;4379;1810;1977;1341;2076;1872;1568;1189;1291;12242928;2076;614;10856;11101;7518;1960;351;379;30778;1779;579;1819;1482;363;752;1858;1649;12031;1093;897;1783;4128;32494;2760;1980;967;627;1298;13487;37533;77089;26137;14563;199381;218403;4940;9348;2130;33514;11330;2416;2764;1728;38392;42604;5392;2584;14523;14523;1974;2479;5250;1904;4013;3020
80;NH24;1474;107.5;BXD39;HF;F;597;3;1694;1372;1943;10546;62052;31951;15954;8404;12200;1320;14445;8904;12591;60182;3784;29464;16452;1920;1045;97106;83779;9085;10248;5224;191387;295009;4595;32992;6489;11967;57606;7301;97083;5190;109251;172934;4222;5881;7660;4262;558973;26394;24432;4056;43335;97699;2106;839213;744;2307;1253;8629;31912;719;196750;4687;5807;56754;5403;11485;1505;1710;14841;1385;7269;2126;818098;222779;67710;202163;21144;8817;18111;6874;14758;3446;6716;545342;28083;2138;11865;1173;12892;302820;4810;4028;2915;4956;17114;4401;9717;31509;9420;759;6355;2449;6319;6309;3825;1615;5757;114510;2670;13562;16331;1125;9384;193176;36286;6939;244112;30589;5243;1809;177105;5809;3969;9267;12418;17320;2140;11668;13983;3177;6442;14095;8994;13840;1450;5172;3030138;6241;3309;1761;438334;119818;52152;2774;57508;1451;5579;6259;1304;1830;18499;29917;30975;23491;13142;39316;13961;3500;5796;1292;45231;5551;2015;330294;2792;2882;5799;1204;1673;5771;128351;825;1855;3306;10328;7556;12747;1142;2985;2700;7359;4738;25025;10318;3904;4758;20041;2646;170212;1332;5935;3188;21466;1602;807;60067;13716;5284;16422;11387;32196;5807;3771;31996;4930;4879;9702;1423;55753;3230;6519;5768;5240;1312;1095;26071;5999;3108;4252;146290;1301;9546;184229;5157;1980;8798;1218;3795;2226;6259;2213;2086441;14696;1664;89820;7485;2741;3328;16635;38924;18768;12378;692;138913;1725318;3885;1742377;22052;3114;5468;14590;2939;651193;2427;2781547;36487;5237;25394;10109;1152;4193;14087;350;1502;600;3114;315866;2590;61941;49312;2602;8241;1356;1651;1871721;1275;80558;3242;1546;1465;2340;7794;10785;2743;881;7166;5791;2817;4252;5905;16467;1142;59143;5136;965;4254;2339;3079;2251;1333;1711;1283;2264;25282;3533;2005;3041;3994;1913;2286;1040;2195;1664;1507;887;1165;11447775;1974;365;8530;9541;7164;2153;493;397;26471;1511;616;1790;1594;405;729;1505;1233;11464;901;1023;1703;4280;31777;2436;1946;764;614;1293;12167;34681;68229;22484;14812;184644;204328;4694;8667;1970;30414;10512;2334;2884;1410;38267;42451;5694;2593;13069;13069;1922;2691;4716;2004;4143;2488
81;NH24;1391;136;BXD45;CD;F;351;2;17869;1647;1930;7895;67299;49405;24201;9642;16703;3929;14992;12791;15867;59146;11798;24571;18044;5993;1365;114118;33781;9888;27758;9498;166376;546818;8526;55455;5440;16653;26208;7600;59897;5192;185472;225001;7105;6698;13663;10019;465516;28573;27114;8685;69874;150998;4840;426987;225;2189;1903;12562;31922;918;160742;9126;9302;65628;13427;14332;1206;1885;41098;5831;43317;3622;1443858;417701;59953;248628;66953;16482;13853;2678;41346;4478;7190;250215;14632;9558;9971;2018;7749;509614;6229;13024;3380;8911;21211;6695;12033;27303;19511;1413;6520;2318;13163;4548;4699;2048;14841;138637;4701;13006;47189;2060;9537;188070;21095;14510;1044202;109269;9049;2899;47936;5436;11195;12310;8632;19509;3024;18484;14388;14120;6536;13998;17918;8061;2874;9808;361121;2743;5739;2000;591419;107105;33547;5272;60633;7568;9642;4753;2165;1679;4488;35071;27548;20033;39918;34553;13798;3234;4242;1374;73494;10382;3820;383966;3919;5328;4231;2419;2846;23003;112791;724;2482;7379;21750;12308;9136;1062;6875;8138;14913;10517;3809;43798;4675;11339;13813;2990;391938;1903;10243;3697;7591;1292;897;53971;23089;19230;20850;13216;44449;3339;3548;21203;6542;16713;3950;2924;50971;6601;7881;2610;6855;2635;3757;20835;6895;4673;6069;119104;2935;19347;204916;11267;10748;7468;5763;6012;5374;42621;3790;4456019;24663;2832;361109;12632;1604;3286;11230;117103;46363;47901;924;227812;2100820;15768;2045495;65787;7900;5250;29898;4023;139670;11008;470771;26606;5231;23922;12086;1380;17573;108514;658;2308;948;6589;61244;6174;16242;11953;3183;8337;3209;3787;40547;811;15846;9508;4255;3649;9392;3033;15012;10500;1255;10113;24401;2919;12934;20376;56831;1897;80354;14583;2208;5355;3291;3458;6477;4944;3381;5169;8401;28991;4526;13197;2507;16018;2205;3004;2523;4809;4046;3891;6562;1334;22712700;7984;1128;6709;17160;11360;2147;1146;598;63398;6044;791;5687;4307;1032;1284;5065;2452;12463;3139;2984;4239;3185;6548;6457;2201;1590;1952;1967;17361;28403;168204;46829;6084;90203;186661;8756;11461;3998;40675;12471;2474;3843;2461;22349;24057;7696;2736;21888;21888;3212;1981;6734;2924;5277;4095
82;NH24;1391;136;BXD45;CD;F;351;2;18601;2018;2089;8704;69422;52974;26439;9725;18555;4064;16578;14102;18135;59843;12737;25244;16944;5986;1701;123642;37867;9748;29513;8777;182979;535551;8109;58289;6209;17880;25094;6938;60104;6265;193253;230264;7436;6934;14311;10164;489337;31602;27960;9046;74656;148530;5297;447722;442;1808;2148;10954;32941;967;148981;8776;9518;68529;12387;14447;1222;1717;40056;6450;43388;3679;1495985;475457;57244;253438;68295;17081;17403;3206;44995;5555;8188;256686;14820;10752;10590;1950;7448;536273;7467;12437;3288;9539;21421;7339;11851;28461;19801;1408;7704;3001;12480;5449;4901;2165;16687;148204;4791;12834;51136;1887;10014;192858;19075;15373;1067531;111859;8526;3201;50844;6085;12178;13320;9612;20593;3115;17256;14050;15033;6451;15367;19448;7483;2367;11490;367901;2161;6439;2243;610090;112421;34379;5525;60116;7131;10771;5730;2019;2094;4599;38342;29804;22438;37357;34531;14725;3841;4330;1357;76781;10902;4521;397807;4450;5153;4734;2008;2663;24474;116734;909;2802;7881;23246;14022;9825;1224;6908;8210;14429;10566;5043;45237;4260;10871;17651;2793;408954;2191;11691;3899;7458;1415;971;51099;23940;19270;22140;13433;46672;3776;3890;23215;6832;18393;4701;3004;51709;7485;7766;2839;6671;2486;3631;20136;7435;5327;5535;131522;2979;20561;207578;11747;11392;7211;5875;4877;5802;43871;4280;3120628;25527;2663;366280;11516;1508;2912;11278;120123;45932;48358;1154;220771;1902139;16853;1753676;65729;8210;5976;28953;3532;125568;10977;457223;23956;4728;22370;11784;1186;15829;111693;478;2170;723;6777;57062;6141;14051;10155;3285;8203;3135;3659;37218;369;17425;9075;4350;3812;8546;2497;15415;10812;1056;11481;25170;2908;11096;21305;56514;1725;81991;15360;2055;5768;3190;3303;6098;4884;3724;5553;7933;31059;4707;14006;2684;15242;2607;2740;2385;4823;3603;3805;6619;1694;23138702;8630;1184;6357;16209;11117;1918;1249;736;64242;5244;930;5635;3731;898;1133;5041;2693;11393;2489;3126;4529;2191;7470;6753;2390;1716;1730;1811;16011;24602;158374;43324;6141;77027;163795;8734;10490;4710;38439;11633;2897;4458;2150;20665;21672;8255;2966;22190;22190;3412;1871;6753;3185;5210;4197
83;NH24;1792;147.5;BXD24;CD;F;511;3;15846;1523;1726;9842;45410;27838;17299;9369;12236;3279;10418;8161;17246;37955;13792;28703;13339;4639;813;83045;30642;11259;21982;4464;130231;308894;5487;21093;6415;14834;20657;6798;77494;5112;110746;151351;6636;6622;7225;7573;355158;22384;14561;5184;50413;193833;2667;1002260;1016;2217;1388;8834;25174;728;192863;9100;5568;50669;9597;13944;1190;1445;24467;1636;15844;2369;879167;196803;68958;138135;32006;10483;10561;2541;18116;6037;7444;217430;13042;9321;7600;1678;4377;208472;5184;11792;3008;5084;15342;5341;12975;29093;15618;773;7749;2508;8986;3171;4100;3245;7005;90137;4257;14225;33920;1274;14992;129164;25398;10219;166993;31929;5391;1554;120504;4570;11069;8335;6539;19698;1720;21324;10047;9094;6880;17482;6396;4463;2361;5342;122984;2758;7841;1864;303181;72171;37096;5488;46022;3151;7933;6393;1436;1373;4945;59836;41278;12242;8878;36172;10588;3086;3462;1120;73784;7613;3511;273650;3769;5273;5144;1380;2307;15333;139856;660;1851;6188;18641;6474;11803;2428;7348;13635;17679;11105;4240;10546;4054;6993;41166;2199;111086;1584;8890;4272;3819;1405;672;87515;13021;12701;15669;10226;22291;4065;3620;61112;5765;15840;5874;2197;38293;5574;5864;2293;5234;1699;2256;22874;13319;3483;5521;220232;3093;10864;96757;7132;9393;9859;4633;4594;2720;21985;3162;3007955;12444;2667;263778;10138;1665;3417;23181;12199;39501;31174;1094;90084;882382;13815;2233189;63219;6228;7054;13028;3707;105308;10443;152223;17550;3841;30268;8377;1207;6690;42236;505;2359;743;3898;45587;4951;9221;7197;3980;9904;2388;4310;514796;646;102785;5503;3672;2626;4347;1736;8993;6310;1153;3971;15734;3750;7011;9962;60022;657;46829;7700;1186;4071;4079;2847;3727;3932;2006;2963;5313;56739;2673;5907;3083;8719;1909;2110;1651;3714;2193;3257;3564;1517;21304356;14401;707;6683;11305;6921;2669;990;452;38684;4931;689;3210;3845;636;1065;2913;1547;8388;2224;3071;2849;2166;16909;5324;1587;1459;1085;1585;39112;51084;251231;65907;7476;157186;254343;6776;10390;2318;59635;11697;2432;4129;1712;21190;22164;5136;3382;26511;26511;2818;2126;4847;3558;5638;3154
84;NH24;1792;147.5;BXD24;CD;F;511;3;15886;1719;1657;9951;45212;27389;18034;9269;12444;2987;10106;7549;16904;40985;13534;28446;12524;4422;998;82350;32125;10439;20695;4745;126398;312327;6045;21682;6284;14022;19728;6930;76137;4726;110121;153914;7252;7254;7562;7106;349764;22172;13167;4862;50785;198050;2987;1000765;1043;2189;1368;8827;25102;836;193613;9102;6142;48459;9919;13753;1133;1634;22947;1846;15299;2429;870693;190755;65566;135837;32895;10480;10999;2645;17188;5494;7575;228443;13066;9198;7576;1559;4847;205807;3993;12542;2731;5013;16625;5120;15198;28263;14011;1011;8055;2809;8326;3214;4947;3499;6653;88301;3763;13215;32685;1322;14561;125233;26455;9845;163112;31229;5062;1912;119543;4555;10242;8766;6602;19213;2002;20355;10468;9242;6657;16821;6915;4673;1916;6027;122938;2422;6755;1828;304347;67888;40877;6023;45469;3260;9177;6034;1496;1293;4960;57022;37415;12317;8855;34021;10483;3064;3732;1124;74592;7065;3242;278095;3296;5798;5124;1949;2580;16812;141602;855;2068;5946;18687;6946;11407;2128;7097;12988;17585;11119;5000;11117;4156;7226;43851;2594;106196;1409;8637;3863;3544;1506;1039;85923;13464;11629;15219;9680;22371;3947;3800;66927;5038;13676;6460;1756;38166;5761;5738;2196;5208;1539;2598;21785;12689;2980;5621;244863;2646;9420;97178;7615;8951;10371;5186;4384;2545;21416;2347;2875482;11539;2381;261253;9223;1583;3813;23488;10889;40722;30670;966;86162;811490;12243;2174216;58142;6268;7140;14034;3565;97649;9160;149339;17126;3904;30097;8949;1018;5539;42545;548;2419;844;3473;43293;5238;8483;7012;4192;9967;3030;3578;522197;616;101268;5273;3675;2466;4585;1475;7647;6278;964;3325;16983;3303;7110;10784;59274;902;49378;7568;1257;3927;3147;2916;3701;3500;1815;3525;5212;56980;2380;5870;3153;8447;2169;2214;1703;3482;2413;3002;3754;1311;21356010;13926;777;6361;10374;5914;2198;1006;544;37484;4933;678;3250;3395;647;1007;2895;1736;8819;2199;2871;2500;2087;17168;5193;1464;1471;1239;1880;40522;53880;247386;67105;7420;160558;248811;6084;10307;2867;59696;11625;2535;3892;1914;20495;22568;4923;3149;25204;25204;2518;1622;4805;3143;5121;3518
85;NH24;1498;146.5;BXD102;HF;F;541;3;1970;1818;1968;10173;72742;36903;23511;11107;15573;1606;13432;12123;16233;46915;6846;25805;14825;3924;1100;100836;106022;8354;17436;5667;186493;445896;6398;40883;5936;11946;21051;8189;85592;4513;160645;263608;4241;6137;8740;6165;476188;27389;20445;4971;65854;318391;2698;1083628;1149;2126;2315;7667;22057;723;168007;6879;12655;49615;7363;11940;1423;1615;29188;1828;17375;2261;1287195;279118;61802;242880;65120;12456;11513;12140;13722;4416;6287;258034;14964;5038;8529;1950;9612;365169;9318;7779;2299;7760;14038;5222;10673;21290;19206;583;6279;2028;7906;4304;4884;1417;6593;106953;3037;11515;15504;1125;10131;160325;21572;9858;379946;39889;5639;2292;142301;5879;6813;10431;11568;21979;3623;19488;16034;7163;6891;18206;8086;6863;1969;10391;2340353;4078;4796;1470;379700;117426;43831;3668;66050;8382;6417;8328;1703;1679;30843;44147;49863;24433;17996;44375;21101;4243;4811;1054;82250;7705;2121;447425;3667;4087;11103;2047;2596;9169;214908;863;1726;5665;13548;9959;12583;3651;4277;5115;14634;8855;3683;11810;3543;6420;48783;2140;273743;1444;8675;4376;7218;2750;732;119308;17492;9312;16003;14502;33390;4605;4141;79332;6078;10048;5634;1634;60069;5041;6834;2125;5674;1764;2047;24501;5703;3379;4613;168988;2546;9547;168585;7726;4558;9532;2354;4421;5932;9710;2550;2205802;19794;1825;297335;9208;1147;2945;21700;15924;35600;28723;1491;44123;413486;9213;1804119;72072;8467;4580;20073;4020;92633;5453;1579502;13522;4245;25083;26901;728;4768;17428;421;2375;675;4765;38093;3394;8170;6545;2889;8797;2048;2497;489220;578;105335;2488;2440;1536;3699;1438;15487;3101;1039;5538;8349;2082;5799;7015;13416;650;94070;5560;978;5894;3420;3408;1577;2314;3078;2116;6569;82812;2475;3296;3046;6293;1846;2380;1354;2156;2247;2602;6385;965;16462481;3384;538;5128;9604;6955;2289;739;981;93865;3367;765;2931;2221;632;1208;2397;1560;8038;2046;2166;3644;4335;45721;7575;1295;1746;1369;1575;36339;69860;183507;58890;19511;438922;481201;8640;13387;2657;46698;15032;2659;4799;1828;37722;39877;7728;3291;20024;20024;2953;2994;8249;2615;5625;3676
